,address_id,postal_code,district,region,customer_id,birthdate,gender,job_type,email_provider,flag_phone_provided,flag_privacy,customer_age,account_id,favorite_store,loyalty_type,loyatlty_status,activation_date,order_id,store_id,product_id,direction,gross_price,price_reduction,purchase_datetime,product_class
0,6962,29121,PC,EMILIA ROMAGNA,7821,1984-10-03,M,0,gmail.com,1.0,True,38.0,204577,11,standard,1,2022-04-06,cff01b663e65a4a426add3d3591dd113,11,33700716,1,0.2,0.0,2022-08-23 13:13:03,10
5,228406,24022,BG,LOMBARDIA,246969,1978-12-27,F,0,personal_mail_provider_7382,1.0,True,44.0,154929,12,business standard,1,2022-03-13,8f7735a267cccb1e922a38d31b8f4b0b,40,33700716,1,0.2,0.0,2022-07-21 11:50:07,10
7,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,8025322b509df76b6684eca2d262fde7,39,33700716,1,0.2,0.02,2022-06-03 09:22:35,10
8,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,61b4e60e8f1503508a0f739e43b49df1,39,33700716,1,0.2,0.0,2023-03-28 12:30:35,10
9,385332,6059,PG,UMBRIA,406505,1976-04-26,F,0,gmail.com,1.0,True,47.0,332900,9,premium,1,2022-06-02,de7f5649c28e00f03cace55339474a35,9,33700716,1,0.2,0.0,2022-08-04 18:25:49,10
10,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,f3e8749bb13f1a4e4499a08834121dec,47,33700716,1,0.2,0.0,2023-01-31 12:51:51,10
11,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,4e38c0f4bc8a0a0349d70b64fe8f07f6,47,33700716,1,0.2,0.0,2023-02-08 13:00:21,10
12,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,f7ec0672d8e8a959003d133dfefa33a2,47,33700716,1,0.2,0.0,2023-02-23 13:40:39,10
13,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,8680447373fe53f7f03e6aff10ecc1fe,47,33700716,1,0.2,0.02,2023-04-01 12:54:56,10
14,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,84ef52819a57cb6b1231b4dda137464b,47,33700716,1,0.2,0.0,2023-04-23 12:50:27,10
45,430731,30171,VE,VENETO,451758,1980-01-22,M,0,libero.it,1.0,True,43.0,384262,44,business standard,1,2022-06-28,d99900a3daa5b5d332efbb076680f47f,44,33700716,1,0.2,0.0,2022-10-05 18:54:45,10
52,625158,148,RM,LAZIO,640999,1974-07-11,F,0,hotmail.it,1.0,True,48.0,635657,33,premium,1,2022-11-08,ab5a674b6e9939cd62be6e12cbeb3386,33,33700716,1,0.2,0.0,2022-11-08 18:58:01,10
53,625158,148,RM,LAZIO,640999,1974-07-11,F,0,hotmail.it,1.0,True,48.0,635657,33,premium,1,2022-11-08,806eb79551b5274f115bcc128e123b7f,33,33700716,1,0.2,0.0,2022-11-16 09:50:01,10
54,625158,148,RM,LAZIO,640999,1974-07-11,F,0,hotmail.it,1.0,True,48.0,635657,33,premium,1,2022-11-08,c825e2a78b329c711bce5119b19cfdba,33,33700716,1,0.2,0.02,2022-11-25 13:13:32,10
55,625158,148,RM,LAZIO,640999,1974-07-11,F,0,hotmail.it,1.0,True,48.0,635657,33,premium,1,2022-11-08,34f711f4f390bd219547a71ea59117f0,33,33700716,1,0.2,0.0,2022-12-29 13:20:20,10
80,301259,84014,SA,CAMPANIA,322448,1985-03-11,F,0,libero.it,1.0,True,38.0,236765,3,standard,1,2022-04-19,2defefa5469bbda39dee4dedf13528af,3,33700716,1,0.2,0.0,2023-04-02 14:49:27,10
85,28699,20861,MB,LOMBARDIA,34088,1979-04-23,F,self-employed,gmail.com,1.0,True,44.0,44903,36,premium,1,2022-01-24,d625bee416c41cd0b62eb0c292135b44,36,33700716,1,0.2,0.0,2022-05-03 19:29:05,10
86,28699,20861,MB,LOMBARDIA,34088,1979-04-23,F,self-employed,gmail.com,1.0,True,44.0,44903,36,premium,1,2022-01-24,60b9da941101eb676cc7cb895320e510,10,33700716,1,0.2,0.0,2022-05-14 18:54:08,10
87,28699,20861,MB,LOMBARDIA,34088,1979-04-23,F,self-employed,gmail.com,1.0,True,44.0,44903,36,premium,1,2022-01-24,79af49ff751bb26775b43975fb372590,36,33700716,1,0.2,0.0,2022-06-02 11:25:53,10
88,28699,20861,MB,LOMBARDIA,34088,1979-04-23,F,self-employed,gmail.com,1.0,True,44.0,44903,36,premium,1,2022-01-24,cbc543e1e5c763a56a76d56f8a633e45,36,33700716,1,0.2,0.0,2022-06-05 11:36:04,10
89,28699,20861,MB,LOMBARDIA,34088,1979-04-23,F,self-employed,gmail.com,1.0,True,44.0,44903,36,premium,1,2022-01-24,de312e6526a9993918f3de24bae6722e,36,33700716,1,0.2,0.0,2022-07-12 19:05:55,10
90,28699,20861,MB,LOMBARDIA,34088,1979-04-23,F,self-employed,gmail.com,1.0,True,44.0,44903,36,premium,1,2022-01-24,47e7cc4460dab1ddcc192856e46f4067,36,33700716,1,0.2,0.0,2022-10-28 12:27:32,10
109,436887,20095,MI,LOMBARDIA,458071,1981-06-21,M,0,gmail.com,1.0,True,42.0,391452,15,business premium,1,2022-07-02,7a6063a05a7466db44a0e71b905f50f2,15,33700716,1,0.2,0.0,2022-08-12 16:30:28,10
113,79553,36015,VI,VENETO,93263,1979-07-22,F,0,mail.ru,1.0,True,43.0,321490,5,premium,1,2022-05-27,72ac170bca12b2f0917e6b75883cc239,5,33700716,1,0.2,0.0,2023-03-30 20:24:46,10
114,287938,10154,TO,PIEMONTE,308545,1983-12-10,M,0,gmail.com,1.0,True,39.0,280415,2,premium,1,2022-05-08,f6bfd2b23f4b1855e27be2b08bf1aa00,2,33700716,1,0.2,0.02,2022-06-24 19:10:58,10
117,433014,20093,MI,LOMBARDIA,2344,1952-04-17,F,0,hotmail.it,1.0,True,71.0,387117,36,standard,1,2022-06-30,8ce4cd75175143b3a2bac15ab5285602,36,33700716,1,0.2,0.0,2022-06-30 15:28:51,10
118,433014,20093,MI,LOMBARDIA,2344,1952-04-17,F,0,hotmail.it,1.0,True,71.0,387117,36,standard,1,2022-06-30,cd5a8a0d718872763176d49862e975e2,36,33700716,1,0.2,0.0,2023-01-06 20:02:16,10
119,433014,20093,MI,LOMBARDIA,2344,1952-04-17,F,0,hotmail.it,1.0,True,71.0,387117,36,standard,1,2022-06-30,53cdd27cf04a925e2674945c34c5f0d2,10,33700716,1,0.2,0.0,2023-03-16 11:07:09,10
120,433014,20093,MI,LOMBARDIA,2344,1952-04-17,F,0,hotmail.it,1.0,True,71.0,387117,36,standard,1,2022-06-30,82e7f69b21cfad7c724c87ae39fe908a,36,33700716,1,0.2,0.0,2023-04-12 10:21:43,10
129,555316,47,RM,LAZIO,572518,1982-02-22,M,0,gmail.com,0.0,True,41.0,539045,42,premium,1,2022-09-21,8ed5ccbd3dc27aa76384d924d9b312b4,42,33700716,1,0.2,0.0,2022-09-21 12:07:42,10
130,164685,20090,MI,LOMBARDIA,181555,1965-11-02,M,0,gmail.com,1.0,True,57.0,83482,36,standard,1,2022-02-11,bbb44f04fe598490acabba3c94934b4a,43,33700716,1,0.2,0.0,2022-09-30 18:01:05,10
131,164685,20090,MI,LOMBARDIA,181555,1965-11-02,M,0,gmail.com,1.0,True,57.0,83482,36,standard,1,2022-02-11,b70ac6211b7429cb95ca23fd19268459,17,33700716,1,0.2,0.0,2023-03-29 13:11:20,10
200,769713,22072,CO,LOMBARDIA,785061,1976-12-13,F,0,gmail.com,1.0,True,46.0,760412,15,standard,1,2023-01-20,e5b31a4059a55ddd5b390c0fbd28a279,15,33700716,1,0.2,0.0,2023-01-20 12:09:07,10
201,6962,29121,PC,EMILIA ROMAGNA,7821,1984-10-03,M,0,gmail.com,1.0,True,38.0,204577,11,standard,1,2022-04-06,cff01b663e65a4a426add3d3591dd113,11,35272195,1,8.9,0.0,2022-08-23 13:13:03,3
206,6962,29121,PC,EMILIA ROMAGNA,7821,1984-10-03,M,0,gmail.com,1.0,True,38.0,204577,11,standard,1,2022-04-06,cff01b663e65a4a426add3d3591dd113,11,35735273,1,2.9,0.0,2022-08-23 13:13:03,4
211,6962,29121,PC,EMILIA ROMAGNA,7821,1984-10-03,M,0,gmail.com,1.0,True,38.0,204577,11,standard,1,2022-04-06,cff01b663e65a4a426add3d3591dd113,11,34951742,1,6.9,2.0,2022-08-23 13:13:03,4
216,52197,59013,PO,TOSCANA,62076,1975-08-12,F,0,hotmail.it,1.0,True,47.0,245046,47,standard,1,2022-04-23,fc6e96f3e2ebc7c878f1b94f196d5d5f,47,48024375,1,69.0,0.0,2022-05-08 18:01:19,2
217,52197,59013,PO,TOSCANA,62076,1975-08-12,F,0,hotmail.it,1.0,True,47.0,245046,47,standard,1,2022-04-23,98179fd43fb5357d3a3383667ad8ddf0,19,34722240,1,4.55,0.0,2022-08-13 18:16:42,9
218,52197,59013,PO,TOSCANA,62076,1975-08-12,F,0,hotmail.it,1.0,True,47.0,245046,47,standard,1,2022-04-23,98179fd43fb5357d3a3383667ad8ddf0,19,32157580,1,1.9,0.0,2022-08-13 18:16:42,3
219,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,61b4e60e8f1503508a0f739e43b49df1,39,32157580,1,3.8,0.0,2023-03-28 12:30:35,3
220,52197,59013,PO,TOSCANA,62076,1975-08-12,F,0,hotmail.it,1.0,True,47.0,245046,47,standard,1,2022-04-23,5cac1267f674b5aa3df68b110316988c,19,35849856,1,11.55,0.0,2022-08-21 13:46:26,1
221,52197,59013,PO,TOSCANA,62076,1975-08-12,F,0,hotmail.it,1.0,True,47.0,245046,47,standard,1,2022-04-23,f69888e40fe98ab1ee59abb5c879cd1f,19,35315252,1,1.8,0.0,2022-09-08 17:50:01,11
222,235248,90128,PA,SICILIA,253998,1976-05-01,M,0,personal_mail_provider_16882,1.0,True,47.0,162495,6,standard,1,2022-03-17,3e8ce583b3b6d9791429b5fec84dc9a9,7,34094095,1,5.9,1.0,2022-11-11 17:37:36,3
226,555316,47,RM,LAZIO,572518,1982-02-22,M,0,gmail.com,0.0,True,41.0,539045,42,premium,1,2022-09-21,a11547feaf72463888c37cffefc55ae6,42,34094095,1,5.9,0.0,2022-11-21 12:24:06,3
227,235248,90128,PA,SICILIA,253998,1976-05-01,M,0,personal_mail_provider_16882,1.0,True,47.0,162495,6,standard,1,2022-03-17,3e8ce583b3b6d9791429b5fec84dc9a9,7,32381874,1,1.5,0.0,2022-11-11 17:37:36,10
231,207829,72100,BR,PUGLIA,225861,1981-09-22,M,0,alice.it,1.0,True,41.0,131210,31,standard,1,2022-03-03,696f69fa37c7b80e1cd3fe6baddc506a,31,31988236,1,4.2,0.0,2022-08-06 19:53:35,10
232,207829,72100,BR,PUGLIA,225861,1981-09-22,M,0,alice.it,1.0,True,41.0,131210,31,standard,1,2022-03-03,a25df961bbcfe8b9c3c740f60b1ad55c,31,34061181,1,12.9,0.0,2022-08-16 16:06:25,8
233,207829,72100,BR,PUGLIA,225861,1981-09-22,M,0,alice.it,1.0,True,41.0,131210,31,standard,1,2022-03-03,b65b633b466cb3d298983a88ac2161d3,31,35850990,1,9.9,0.0,2022-10-20 16:15:50,11
234,207829,72100,BR,PUGLIA,225861,1981-09-22,M,0,alice.it,1.0,True,41.0,131210,31,standard,1,2022-03-03,b65b633b466cb3d298983a88ac2161d3,31,34214740,1,21.96,0.0,2022-10-20 16:15:50,14
235,395966,20139,MI,LOMBARDIA,417080,1958-12-01,M,0,gmail.com,1.0,True,64.0,344774,30,standard,1,2022-06-08,83868977e2630a025d3baf1b1bd1008f,30,34214740,1,43.92,0.0,2023-01-04 17:38:12,14
242,777487,189,RM,LAZIO,792819,1978-04-02,F,0,gmail.com,1.0,True,45.0,901573,37,standard,1,2023-04-13,fdc099986b32b249e367bc0810de77cb,37,31197551,1,1.49,0.0,2023-04-25 16:25:29,13
246,777487,189,RM,LAZIO,792819,1978-04-02,F,0,gmail.com,1.0,True,45.0,901573,37,standard,1,2023-04-13,fdc099986b32b249e367bc0810de77cb,37,36634360,1,1.9,0.0,2023-04-25 16:25:29,4
250,529948,70010,BA,PUGLIA,548505,1976-03-15,M,0,gmail.com,0.0,True,47.0,494090,46,standard,1,2022-08-29,3ad8277139f6732e5dac2a4e3c5941df,46,35609350,1,0.6,0.0,2022-08-29 19:50:13,3
266,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,46d20a606e546c845ac08844f65855f4,39,35890113,1,2.5,0.0,2022-05-05 16:44:53,4
267,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,46d20a606e546c845ac08844f65855f4,39,36481214,1,17.82,0.0,2022-05-05 16:44:53,6
268,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,46d20a606e546c845ac08844f65855f4,39,32697266,1,2.5,0.0,2022-05-05 16:44:53,10
269,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,1675164cf9cf9a2d38d12e7076175c5e,39,35199045,1,2.45,0.42,2022-05-11 12:04:04,11
270,676601,4100,LATINA,0,692168,1978-04-06,F,0,libero.it,1.0,True,45.0,656892,39,standard,1,2022-11-18,70da618c87053314fb34998999460992,39,35199045,1,2.45,0.0,2022-12-18 15:39:01,11
271,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,1675164cf9cf9a2d38d12e7076175c5e,39,36158185,1,59.8,10.28,2022-05-11 12:04:04,14
272,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,33817091,1,0.5,0.0,2022-05-19 18:33:51,10
273,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,7533198c58cc4a5c8c43715c27037ea5,39,33817091,1,0.5,0.01,2022-05-20 13:15:36,10
274,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c1e6eb030fab3ce2eb8fd787bcd73622,39,33817091,1,0.5,0.05,2022-05-26 18:42:17,10
275,395966,20139,MI,LOMBARDIA,417080,1958-12-01,M,0,gmail.com,1.0,True,64.0,344774,30,standard,1,2022-06-08,70c669a0cb93090aade3c23379c71a62,30,33817091,1,0.5,0.0,2022-12-31 16:10:56,10
282,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,7a2db2274e957939087c908562a08450,47,33817091,1,0.5,0.0,2023-02-11 12:56:01,10
283,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,eb3110d8f8dfdeb274c6f6607aad8d03,47,33817091,1,1.0,0.1,2023-03-29 18:39:13,10
284,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,71ca5a1e2139bf69101c28d4b3942712,47,33817091,1,0.5,0.05,2023-04-20 10:38:51,10
303,453801,50019,FI,TOSCANA,474890,1982-02-19,F,0,gmail.com,1.0,True,41.0,410302,47,standard,1,2022-07-14,abf93409d07fc7059a1449bc5389b1d2,47,33817091,1,0.5,0.0,2022-09-27 11:04:33,10
304,164685,20090,MI,LOMBARDIA,181555,1965-11-02,M,0,gmail.com,1.0,True,57.0,83482,36,standard,1,2022-02-11,4a0ae0780a63d226e3289b8ad5205214,43,33817091,1,0.5,0.0,2022-10-26 17:47:44,10
305,164685,20090,MI,LOMBARDIA,181555,1965-11-02,M,0,gmail.com,1.0,True,57.0,83482,36,standard,1,2022-02-11,b3b1c35519644ffe5f7831e6afdfc5e7,17,33817091,1,0.5,0.0,2022-11-19 14:15:16,10
374,632791,27100,PV,LOMBARDIA,431885,1957-03-08,M,0,live.it,1.0,True,66.0,433986,1,standard,1,2022-07-28,deecb1e7a8d7cc8fce80ea65a207f727,30,33817091,1,0.5,0.0,2023-02-05 15:04:53,10
375,632791,27100,PV,LOMBARDIA,431885,1957-03-08,M,0,live.it,1.0,True,66.0,433986,1,standard,1,2022-07-28,c23bef53fd438c2d43c0576dbc2da2af,30,33817091,1,0.5,0.0,2023-03-28 18:34:57,10
376,211837,20135,MI,LOMBARDIA,229985,1985-03-12,M,0,tiscali.it,1.0,True,38.0,135764,43,standard,1,2022-03-05,ebadc68e75ef384f927ed283a6d4c0b7,32,33817091,1,0.5,0.0,2022-12-08 14:22:22,10
379,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,33929175,1,2.85,0.0,2022-05-19 18:33:51,10
380,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,35738241,1,1.99,0.0,2022-05-19 18:33:51,11
381,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,30293361,1,2.2,0.0,2022-05-19 18:33:51,10
382,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,33855346,1,1.65,0.0,2022-05-19 18:33:51,3
383,284025,21012,VA,LOMBARDIA,304480,1983-02-14,F,0,gmail.com,1.0,True,40.0,217796,49,premium,1,2022-04-10,340bf30647eb6de27101560cdc61599b,49,33855346,1,1.65,0.0,2022-10-24 19:13:28,3
390,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,35963361,1,75.0,22.5,2022-05-19 18:33:51,7
391,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,c3c89e99e06e5355ccb12e8c12866bcb,33,36143576,1,3.4,0.0,2022-05-19 18:33:51,12
393,625186,81033,CE,CAMPANIA,641026,1983-05-06,F,0,gmail.com,1.0,True,40.0,599593,35,standard,1,2022-10-23,b0db58edab6ab5836ffb10a51a6e694b,35,36143576,1,1.7,0.0,2023-01-31 17:43:38,12
394,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,7533198c58cc4a5c8c43715c27037ea5,39,32497906,1,2.6,0.06,2022-05-20 13:15:36,10
395,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,7533198c58cc4a5c8c43715c27037ea5,39,35905590,1,19.98,0.49,2022-05-20 13:15:36,13
396,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,7533198c58cc4a5c8c43715c27037ea5,39,36239112,1,29.98,0.73,2022-05-20 13:15:36,13
397,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,7533198c58cc4a5c8c43715c27037ea5,39,35295883,1,9.99,0.24,2022-05-20 13:15:36,13
398,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,36635186,1,0.9,0.0,2022-05-30 11:47:38,4
399,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,36128176,1,2.99,0.0,2022-05-30 11:47:38,11
400,676601,4100,LATINA,0,692168,1978-04-06,F,0,libero.it,1.0,True,45.0,656892,39,standard,1,2022-11-18,bf77e3762b6d32b7fb80e275c4aa0052,39,36128176,1,2.99,0.0,2022-11-18 19:40:41,11
401,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,36634374,1,1.9,0.0,2022-05-30 11:47:38,4
402,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,35411810,1,1.99,0.0,2022-05-30 11:47:38,11
403,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,32452182,1,3.8,0.0,2022-05-30 11:47:38,3
404,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,36634353,1,1.9,0.0,2022-05-30 11:47:38,4
405,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,6de825686f2d4347292ab0dadfbe273d,39,31325070,1,6.81,0.0,2022-05-30 11:47:38,3
406,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,8025322b509df76b6684eca2d262fde7,39,33760734,1,1.95,0.16,2022-06-03 09:22:35,11
407,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,8025322b509df76b6684eca2d262fde7,39,34261010,1,1.1,0.09,2022-06-03 09:22:35,11
408,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,8025322b509df76b6684eca2d262fde7,39,36634500,1,3.5,0.29,2022-06-03 09:22:35,4
409,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,0d3b231a78d96dad4ac60e9433de28dc,33,36276513,1,49.9,0.0,2022-06-19 12:45:12,5
410,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,61b4e60e8f1503508a0f739e43b49df1,39,36604666,1,6.9,0.0,2023-03-28 12:30:35,3
411,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,3565dcb9b6e094f15c0b6a40dd9ecbe4,39,36604666,-1,-6.9,0.0,2023-03-29 08:14:25,3
412,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,25a54977b148ca050c2a839e4587f123,39,36604666,1,6.9,0.0,2023-03-29 08:24:34,3
413,245482,20,RM,LAZIO,264555,1981-04-12,M,0,tiscali.it,1.0,True,42.0,174025,29,business standard,1,2022-03-21,191850c873b07f424e47e41ecd998e6c,29,48091281,1,11.8,0.0,2022-08-26 17:47:07,9
414,216511,181,RM,LAZIO,234763,1990-07-25,M,0,hotmail.com,1.0,False,32.0,141027,13,business standard,1,2022-03-07,9cea4221459b91d88a180c9f55526cd0,37,48091281,1,8.58,0.0,2022-05-17 18:04:50,9
418,245482,20,RM,LAZIO,264555,1981-04-12,M,0,tiscali.it,1.0,True,42.0,174025,29,business standard,1,2022-03-21,191850c873b07f424e47e41ecd998e6c,29,36547952,1,3.99,0.0,2022-08-26 17:47:07,7
419,245482,20,RM,LAZIO,264555,1981-04-12,M,0,tiscali.it,1.0,True,42.0,174025,29,business standard,1,2022-03-21,1edda8aed32f5e684514bec184ce0650,29,81273175,1,2.99,0.0,2023-03-04 19:39:23,13
420,245482,20,RM,LAZIO,264555,1981-04-12,M,0,tiscali.it,1.0,True,42.0,174025,29,business standard,1,2022-03-21,1edda8aed32f5e684514bec184ce0650,29,35426433,1,10.99,0.0,2023-03-04 19:39:23,7
421,71796,31100,TV,VENETO,84587,1987-07-13,M,0,hotmail.it,1.0,False,35.0,511209,22,premium,1,2022-09-07,8a00021dffca9f857fabed740479a4c5,22,36116955,1,25.0,5.1,2022-09-21 09:48:04,13
422,71796,31100,TV,VENETO,84587,1987-07-13,M,0,hotmail.it,1.0,False,35.0,511209,22,premium,1,2022-09-07,fc4fcb84fef3540a782872819c01966e,22,36116955,1,50.0,10.2,2022-09-26 12:42:22,13
427,71796,31100,TV,VENETO,84587,1987-07-13,M,0,hotmail.it,1.0,False,35.0,511209,22,premium,1,2022-09-07,1e1d7217d3a64382f0b580938d35a99e,22,32755975,1,3.99,0.0,2022-11-02 11:34:42,11
